Session	Date	Time CET (Local Time)	Room	Track	Pres. Order	Session Name 	Paper ID	Paper Title	Author	Length	Category	Presentation Preference	New Presentation Mode	Chair	Chair email	Abstract
Session 2	2024-03-18	12:00	Marie Louise 1 	Sentiment Analysis, Stylistic Analysis and Argument Mining	5	Factual Content in NLP	108	Multimodal Fallacy Classification in Political Debates	Eleonora Mancini, Federico Ruggeri, Paolo Torroni	Long 12/2.5/.5	Oral 	In Person				Recent advances in NLP suggest that some tasks, such as argument detection and relation classification, are better framed in a multimodal perspective. We propose multimodal argument mining for argumentative fallacy classification in political debates. To this end, we release the first corpus for multimodal fallacy classification. Our experiments show that the integration of the audio modality leads to superior classification performance. Our findings confirm that framing fallacy classification as a multimodal task is essential to capturing paralinguistic aspects of fallacious arguments.
Session 2	2024-03-18	12:15	Marie Louise 1 	Sentiment Analysis, Stylistic Analysis and Argument Mining	6	Factual Content in NLP	391	Leveraging fine-tuned Large Language Models with LoRA for Effective Claim, Claimer, and Claim Object Detection	Sotiris Kotitsas, Panagiotis Kounoudis, Eleni Koutli, Haris Papageorgiou	Long 12/2.5/.5	Oral 	In Person				Misinformation and disinformation phenomena existed long before the advent of digital technologies. The exponential use of social media platforms, whose information feeds have created the conditions for many to many communication and instant amplification of the news has accelerated the diffusion of inaccurate and misleading information. As a result, the identification of claims have emerged as a pivotal technology for combating the influence of misinformation and disinformation within news media. Most existing work has concentrated on claim analysis at the sentence level, neglecting the crucial exploration of supplementary attributes such as the claimer and the claim object of the claim or confining it by limiting its scope to a predefined list of topics. Furthermore, previous research has been mostly centered around political debates, Wikipedia articles, and COVID-19 related content. By leveraging the advanced capabilities of Large Language Models (LLMs) in Natural Language Understanding (NLU) and text generation, we propose a novel architecture utilizing LLMs finetuned with LoRA to transform the claim, claimer and claim object detection task into a Question Answering (QA) setting. We evaluate our approach in a dataset of 867 scientific news articles of 3 domains (Health, Climate Change, Nutrition) (HCN), which are human annotated with the major claim, the claimer and the object of the major claim. We also evaluate our proposed model in the benchmark dataset of NEWSCLAIMS. Experimental and qualitative results showcase the effectiveness of the proposed approach. We make our dataset publicly available to encourage further research.
Session 2	2024-03-18	11:00	Marie Louise 2  	Dialogue and Interactive Systems	1	Dialogue and Interactive Systems	26	A Comparative Multidimensional Analysis of Empathetic Systems	Andrew Lee, Jonathan K. Kummerfeld, Larry Ann, Rada Mihalcea	Long 12/2.5/.5	Oral 	In Person		Ondrej Dusek	odusek@ufal.mff.cuni.cz	Recently, empathetic dialogue systems have received significant attention.  While some researchers have noted limitations, e.g., that these systems tend to generate generic utterances, no study has systematically verified these issues. We survey 21 systems, asking what progress has been made on the task. We observe multiple limitations of current evaluation procedures. Most critically, studies tend to rely on a single non-reproducible empathy score, which inadequately reflects the multidimensional nature of empathy. To better understand the differences between systems, we comprehensively analyze each system with automated methods that are grounded in a variety of aspects of empathy. We find that recent systems lack three important aspects of empathy: specificity, reflection levels, and diversity. Based on our results, we discuss problematic behaviors that may have gone undetected in prior evaluations, and offer guidance for developing future systems.\footnote{Our experiments can be found at [Anonymous URL]}
Session 2	2024-03-18	11:15	Marie Louise 2  	Dialogue and Interactive Systems	2	Dialogue and Interactive Systems	34	Asking the Right Question at the Right Time: Human and Model Uncertainty Guidance to Ask Clarification Questions	Alberto Testoni, Raquel Fernández	Long 12/2.5/.5	Oral 	In Person				Clarification questions are an essential dialogue tool to signal misunderstanding, ambiguities, and under-specification in language use. While humans are able to resolve uncertainty by asking questions since childhood, modern dialogue systems struggle to generate effective questions. To make progress in this direction, in this work we take a collaborative dialogue task as a testbed and study how model uncertainty relates to human uncertainty---an as yet under-explored problem. We show that model uncertainty does not mirror human clarification-seeking behavior, which suggests that using human clarification questions as supervision for deciding when to ask may not be the most effective way to resolve model uncertainty. To address this issue, we propose an approach to generating clarification questions based on model uncertainty estimation, compare it to several alternatives, and show that it leads to significant improvements in terms of task success. Our findings highlight the importance of equipping dialogue systems with the ability to assess their own uncertainty and exploit in interaction.
Session 2	2024-03-18	11:30	Marie Louise 2  	Dialogue and Interactive Systems	3	Dialogue and Interactive Systems	56	Leveraging Implicit Feedback from Deployment Data in Dialogue	Richard Yuanzhe Pang, Stephen Roller, Kyunghyun Cho, He He, Jason E Weston	Long 12/2.5/.5	Oral 	In Person				We study improving social conversational agents by learning from natural dialogue between users and a deployed model, without extra annotations. To implicitly measure the quality of a machine-generated utterance, we leverage signals like user response length, sentiment and reaction of the future human utterances in the collected dialogue episodes. Our experiments use the publicly released deployment data from BlenderBot (Xu et al., 2023). Human evaluation indicates improvements in our new models over baseline responses; however, we find that some proxy signals can lead to more generations with undesirable properties as well. For example, optimizing for conversation length can lead to more controversial or unfriendly generations compared to the baseline, whereas optimizing for positive sentiment or reaction can decrease these behaviors.
Session 2	2024-03-18	11:45	Marie Louise 2  	Dialogue and Interactive Systems	4	Dialogue and Interactive Systems	74	Commonsense-augmented Memory Construction and Management in Long-term Conversations via Context-aware Persona Refinement	Hana Kim, Kai Tzu-iunn Ong, Seoyeon Kim, Dongha Lee, Jinyoung Yeo	Long 12/2.5/.5	Oral 	Virtual				Memorizing and utilizing speakers' personas is a common practice for response generation in long-term conversations. Yet, human-authored datasets often provide uninformative persona sentences that hinder response quality. This paper presents a novel framework that leverages commonsense-based persona expansion to address such issues in long-term conversation.  While prior work focuses on not producing personas that contradict others, we focus on transforming contradictory personas into sentences that contain rich speaker information, by refining them based on their contextual backgrounds with designed strategies. As the pioneer of persona expansion in multi-session settings, our framework facilitates better response generation via human-like persona refinement. The supplementary video of our work is available at https://caffeine-15bbf.web.app/.
Session 2	2024-03-18	12:00	Marie Louise 2  	Dialogue and Interactive Systems	5	Dialogue and Interactive Systems	175	HumBEL: A Human-in-the-Loop Approach for Evaluating Demographic Factors of Language Models in Human-Machine Conversations	Anthony Sicilia, Jennifer C. Gates, Malihe Alikhani	Long 12/2.5/.5	Oral 	In Person				While demographic factors like age and gender change the way people talk, and in particular, the way people talk to machines, there is little investigation into how large pre-trained language models (LMs) can adapt to these changes. To remedy this gap, we consider how demographic factors in LM language skills can be measured to determine compatibility with a target demographic. We suggest clinical techniques from Speech Language Pathology, which has norms for acquisition of language skills in humans. We conduct evaluation with a domain expert (i.e., a clinically licensed speech language pathologist), and also propose automated techniques to complement clinical evaluation at scale. Empirically, we focus on age, finding LM capability varies widely depending on task: GPT-3.5 mimics the ability of humans ranging from age 6-15 at tasks requiring inference, and simultaneously, outperforms a typical 21 year old at memorization. GPT-3.5 also has trouble with social language use, exhibiting less than 50% of the tested pragmatic skills. Findings affirm the importance of considering demographic alignment and conversational goals when using LMs as public-facing tools. Code, data, and a package will be available.
Session 2	2024-03-18	12:15	Marie Louise 2  	Dialogue and Interactive Systems	6	Dialogue and Interactive Systems	290	SynthDST: Synthetic Data is All You Need for Few-Shot Dialog State Tracking	Atharva Kulkarni, Bo-Hsiang Tseng, Joel Ruben Antony Moniz, Dhivya Piraviperumal, Hong Yu, Shruti Bhargava	Long 12/2.5/.5	Oral 	In Person				In-context learning with Large Language Models (LLMs) has emerged as a promising avenue of research in Dialog State Tracking (DST). However, the best-performing in-context learning methods involve retrieving and adding similar examples to the prompt, requiring access to labeled training data. Procuring such training data for a wide range of domains and applications is time-consuming, expensive, and, at times, infeasible. While zero-shot learning requires no training data, it significantly lags behind the few-shot setup. Thus, `\textit{Can we efficiently generate synthetic data for any dialogue schema to enable few-shot prompting?}' Addressing this question, we propose \method, a data generation framework tailored for DST, utilizing LLMs. Our approach only requires the dialogue schema and a few hand-crafted dialogue templates to synthesize natural, coherent, and free-flowing dialogues with DST annotations. Few-shot learning using data from {\method} results in $4-5\%$ improvement in Joint Goal Accuracy over the zero-shot baseline on MultiWOZ 2.1 and 2.4. Remarkably, our few-shot learning approach recovers nearly $98\%$ of the performance compared to the few-shot setup using human-annotated training data\footnote{Our synthetic data and code can be accessed at \\ \url{ https://github.com/apple/ml-synthdst}.}.
Session 3	2024-03-18	14:00	Carlson 	Efficient/Low-resource methods in NLP	1	Efficient/Low-resource methods in NLP	71	Finding a Needle in the Adversarial Haystack: A Targeted Paraphrasing Approach For Uncovering Edge Cases with Minimal Distribution Distortion	Aly M. Kassem, Sherif Saad	Long 12/2.5/.5	Oral 	Virtual		Yufang Hou	bnuxiaofang@gmail.com	Adversarial attacks against Language models (LMs) are a significant concern. In particular, adversarial samples exploit the model's sensitivity to small input changes. While these changes appear insignificant on the semantics of the input sample, they result in significant decay in model performance. In this paper, we propose Targeted Paraphrasing via RL (TPRL), an approach to automatically learn a policy to generate challenging samples that improve the model’s performance. TPRL leverages FLAN-T5, a language model, as a generator and employs a self-learned policy using a proximal policy optimization to generate the adversarial examples automatically. TPRL's reward is based on the confusion induced in the classifier, preserving the original text meaning through a Mutual Implication score. We demonstrate \& evaluate TPRL's effectiveness in discovering natural adversarial attacks and improving model performance through extensive experiments on four diverse NLP classification tasks via Automatic \& Human evaluation. TPRL outperforms strong baselines, exhibits generalizability across classifiers and datasets, and combines the strengths of language modeling and reinforcement learning to generate diverse and influential adversarial examples.
Session 3	2024-03-18	14:15	Carlson 	Efficient/Low-resource methods in NLP	2	Efficient/Low-resource methods in NLP	73	FAIR: Filtering of Automatically Induced Rules	Divya Jyoti Bajpai, Ayush Maheshwari, Manjesh Kumar Hanawal, Ganesh Ramakrishnan	Long 12/2.5/.5	Oral 	In Person				Availability of large annotated data can be a critical bottleneck in training machine learning algorithms successfully, especially when applied to diverse domains. Weak supervision offers a promising alternative by accelerating the creation of labeled training data using domain-specific rules. However, it requires users to write a diverse set of high-quality rules to assign labels to the unlabeled data (eg., Snorkel~\cite{bach2019snorkel}). Automatic Rule Induction (ARI) approaches such as Snuba \cite{snuba} circumvent this problem by automatically creating rules from features on a small labeled set and filtering a final set of rules from them. In the ARI approach, the crucial step is to filter out a set of a high-quality useful subset of rules from the large set of automatically created rules. In this paper, we propose an algorithm FAIR (Filtering of Automatically Induced Rules) to filter rules from a large number of automatically induced rules using submodular objective functions that account for the collective precision, coverage, and conflicts of the rule set. We experiment with three ARI approaches and five text classification datasets to validate the superior performance of our algorithm with respect to several semi-supervised label aggregation approaches. We show that our approach achieves statistically significant results in comparison to existing rule-filtering approaches. The anonymized source code is available at \url{https://anonymous.4open.science/r/FAIR-LF-Induction-9B60}.
Session 3	2024-03-18	14:30	Carlson 	Efficient/Low-resource methods in NLP	3	Efficient/Low-resource methods in NLP	130	Quality Does Matter: A Detailed Look at the Quality and Utility of Web-Mined Parallel Corpora	Surangika Ranathunga, Nisansa de Silva, Velayuthan Menan, Aloka Fernando, Charitha S.M. Rathnayake	Long 12/2.5/.5	Oral 	Virtual				We conducted a detailed analysis on the quality of web-mined corpora for two low-resource languages (making three language pairs, English-Sinhala, English-Tamil and Sinhala-Tamil). We ranked each corpus according to a similarity measure and carried out an intrinsic and extrinsic evaluation on different portions of this ranked corpus. We show that there are significant quality differences between different portions of web-mined corpora and that the quality varies across languages and datasets. We also show that, for some web-mined datasets, Neural Machine Translation (NMT) models trained with their highest-ranked 25k portion can be on par with human-curated datasets.
Session 3	2024-03-18	14:45	Carlson 	Efficient/Low-resource methods in NLP	4	Efficient/Low-resource methods in NLP	148	LaMini-LM: A Diverse Herd of Distilled Models from Large-Scale Instructions	Minghao Wu, Abdul Waheed, Chiyu Zhang, Muhammad Abdul-Mageed, Alham Fikri Aji	Long 12/2.5/.5	Oral 	Unconfirmed				Large language models (LLMs) with instruction fine-tuning demonstrate superior generative capabilities. However, these models are resource-intensive. To alleviate this issue, we explore distilling knowledge from instruction-tuned LLMs into much smaller ones. While other similar works have been done, they are often conducted on a limited set of (usually still large) models and are not accompanied by proper evaluations. To this end, we carefully develop a large set of 2.58M instructions based on both existing and newly-generated instructions. In addition to being sizable, we design our instructions to cover a broad set of topics to ensure diversity. Extensive analysis of our instruction dataset confirms its diversity, and we generate responses for these instructions using gpt-3.5-turbo. Leveraging these instructions, we fine-tune a diverse herd of models, collectively referred to as LaMini-LM, which includes models from both the encoder-decoder and decoder-only families, with varying sizes. We evaluate the performance of our models using automatic metrics on 15 different natural language processing (NLP) benchmarks, as well as through human assessment. We also assess the model for hallucination and toxicity, and for the former, we introduce a new benchmark dataset for hallucination-inducing QA. The results demonstrate that our proposed LaMini-LM models are comparable to strong baselines while being much smaller in size.
Session 3	2024-03-18	15:00	Carlson 	Efficient/Low-resource methods in NLP	5	Efficient/Low-resource methods in NLP	222	Anchor Points: Benchmarking Models with Much Fewer Examples	Rajan Pathe Vivek, Kawin Ethayarajh, Diyi Yang, Douwe Kiela	Long 12/2.5/.5	Oral 	In Person				Modern language models often exhibit powerful but brittle behavior, leading to the development of larger and more diverse benchmarks to reliably assess their behavior. Here, we suggest that model performance can be benchmarked and elucidated with much smaller evaluation sets. We first show that in six popular language classification benchmarks, model confidence in the correct class on many pairs of points is strongly correlated across models. We build upon this phenomenon to propose Anchor Point Selection, a technique to select small subsets of datasets that capture model behavior across the entire dataset. Anchor points reliably rank models: across 87 diverse language model-prompt pairs, evaluating models using 1-30 anchor points outperforms uniform sampling and other baselines at accurately ranking models. Moreover, just a dozen anchor points can be used to estimate model per-class predictions on all other points in a dataset with low error, sufficient for gauging where the model is likely to fail. Lastly, we present Anchor Point Maps for visualizing these insights and facilitating comparisons of the performance of different models on various regions within the dataset distribution.
Session 3	2024-03-18	15:15	Carlson 	Efficient/Low-resource methods in NLP	6	Efficient/Low-resource methods in NLP	260	Aligning Large and Small Language Models via Chain-of-Thought Reasoning	Leonardo Ranaldi, Andre Freitas	Long 12/2.5/.5	Oral 	In Person				Chain-of-Thought (CoT) prompting empowers  the reasoning abilities of Large Language Models (LLMs), eliciting them to solve complex  reasoning tasks in a step-wise manner. However, these capabilities appear only in models with billions of parameters, which represent an entry barrier for many users who are constrained to operate on a smaller model scale, i.e., Small Language Models (SLMs). Although many companies are releasing LLMs of the same family with fewer parameters, these models tend not to preserve all the reasoning capabilities of the original models, including CoT reasoning.      In this paper, we propose a method for aligning and transferring reasoning abilities between larger to smaller Language Models. By using an Instruction-tuning-CoT method, that is, an Instruction-tuning designed around CoT-Demonstrations, we enable the SLMs to generate multi-step controlled reasoned answers when they are elicited with the CoT mechanism. Hence, we instruct a smaller Language Model using outputs generated by more robust models belonging to the same family or not, evaluating the impact across different types of models. Results obtained on question-answering and mathematical reasoning benchmarks show that LMs instructed via the Instruction-tuning CoT method produced by LLMs outperform baselines within both in-domain and out-domain scenarios.
Session 3	2024-03-18	14:00	Marie Louise 1 	Discourse and Pragmatics	1	Discourse and Syntactic Parsing	211	Unleashing the Power of Discourse-Enhanced Transformers for Propaganda Detection	Alexander Chernyavskiy, Dmitry Ilvovsky, Preslav Nakov	Long 12/2.5/.5	Oral 	In Person		Dr Lorella Viola	l.viola@vu.nl	The prevalence of information manipulation online has created a need for propaganda detection systems. Such systems have typically focused on the surface words, ignoring the linguistic structure. Here we aim to bridge this gap. In particular, we present the first attempt at using discourse analysis for the task. We consider both paragraph-level and token-level classification and we propose a discourse-aware Transformer architecture. Our experiments on English and Russian demonstrate sizeable performance gains compared to a number of baselines. Moreover, our ablation study emphasizes the importance of specific types of discourse features, and our in-depth analysis reveals a strong correlation between propaganda instances and discourse spans.
Session 3	2024-03-18	14:15	Marie Louise 1 	Discourse and Pragmatics	2	Discourse and Syntactic Parsing	438	Can we obtain significant success in RST discourse parsing by using Large Language Models?	Aru Maekawa, Tsutomu Hirao, Hidetaka Kamigaito, Manabu Okumura	Long 12/2.5/.5	Oral 	In Person				Recently, decoder-only pre-trained large language models (LLMs), with several tens of billion parameters, have significantly impacted a wide range of natural language processing (NLP) tasks. While encoder-only or encoder-decoder pre-trained language models have already proved to be effective in discourse parsing, the extent to which LLMs can perform this task remains an open research question. Therefore, this paper explores how beneficial such LLMs are for Rhetorical Structure Theory (RST) discourse parsing. Here, the parsing process for both fundamental top-down and bottom-up strategies is converted into prompts, which LLMs can work with. We employ Llama 2 and fine-tune it with QLoRA, which has fewer parameters that can be tuned. Experimental results on three benchmark datasets, RST-DT, Instr-DT, and the GUM corpus, demonstrate that Llama 2 with 70 billion parameters in the bottom-up strategy obtained state-of-the-art (SOTA) results with significant differences. Furthermore, our parsers demonstrated generalizability when evaluated on RST-DT, showing that, in spite of being trained with the GUM corpus, it obtained similar performances to those of existing parsers trained with RST-DT.
Session 3	2024-03-18	14:30	Marie Louise 1 	Semantics: Sentence-level Semantics, Textual Inference and other areas	3	Discourse and Syntactic Parsing	182	Improving Generalization in Semantic Parsing by Increasing Natural Language Variation	Irina Saparina, Mirella Lapata	Long 12/2.5/.5	Oral 	In Person				Text-to-SQL semantic parsing has made significant progress in recent years, with various models demonstrating impressive performance on the challenging Spider benchmark. However, it has also been shown that these models often struggle to generalize even when faced with small perturbations of previously (accurately) parsed expressions. This is mainly due to the linguistic form of questions in Spider which are overly specific, unnatural, and display limited variation. In this work, we use data augmentation to enhance the robustness of text-to-SQL parsers against natural language variations. Existing approaches generate question reformulations either via models trained on Spider or only introduce local changes. In contrast, we leverage the capabilities of large language models to generate more realistic and diverse questions. Using only a few prompts, we achieve a two-fold increase in the number of questions in Spider. Training on this augmented    dataset yields substantial improvements on a range of evaluation sets, including robustness benchmarks and out-of-domain data.
Session 3	2024-03-18	14:45	Marie Louise 1 	Syntax: Tagging, Chunking and Parsing	4	Discourse and Syntactic Parsing	159	From Partial to Strictly Incremental Constituent Parsing	Ana Ezquerro, Carlos Gómez-Rodríguez, David Vilares	Long 12/2.5/.5	Oral 	In Person				We study incremental constituent parsers to assess their capacity to output trees based on prefix representations alone. Guided by strictly left-to-right generative language models and tree-decoding modules, we build parsers that adhere to a strong definition of incrementality across languages. This builds upon work that asserted incrementality, but that mostly only enforced it on either the encoder or the decoder. Finally, we conduct an analysis against non-incremental and partially incremental models.
